RUN	viade_es5b.PruebaAñadirAmigo	pruebaan-adiramigo	1587660754745	 	3.3.1
USER	PruebaAñadirAmigo	1	START	1587660756891	1587660756891
REQUEST	1		PruebaAñadirAmigo_0	1587660756991	1587660757055	OK	 
REQUEST	1		PruebaAñadirAmigo_1	1587660757125	1587660757137	OK	 
REQUEST	1		PruebaAñadirAmigo_2	1587660757138	1587660757145	OK	 
REQUEST	1		PruebaAñadirAmigo_3	1587660757248	1587660757308	OK	 
USER	PruebaAñadirAmigo	2	START	1587660757871	1587660757871
REQUEST	2		PruebaAñadirAmigo_0	1587660757872	1587660757915	OK	 
REQUEST	2		PruebaAñadirAmigo_1	1587660757916	1587660757921	OK	 
REQUEST	2		PruebaAñadirAmigo_2	1587660757922	1587660757925	OK	 
REQUEST	2		PruebaAñadirAmigo_3	1587660758092	1587660758125	OK	 
REQUEST	1		PruebaAñadirAmigo_4	1587660758306	1587660758311	OK	 
REQUEST	1		PruebaAñadirAmigo_5	1587660758315	1587660758321	OK	 
REQUEST	1		PruebaAñadirAmigo_6	1587660758324	1587660758368	OK	 
REQUEST	1		PruebaAñadirAmigo_7	1587660758370	1587660758374	OK	 
USER	PruebaAñadirAmigo	3	START	1587660758881	1587660758881
REQUEST	3		PruebaAñadirAmigo_0	1587660758882	1587660758921	OK	 
REQUEST	3		PruebaAñadirAmigo_1	1587660758922	1587660758925	OK	 
REQUEST	3		PruebaAñadirAmigo_2	1587660758926	1587660758932	OK	 
REQUEST	3		PruebaAñadirAmigo_3	1587660759091	1587660759121	OK	 
REQUEST	2		PruebaAñadirAmigo_4	1587660759123	1587660759126	OK	 
REQUEST	2		PruebaAñadirAmigo_5	1587660759127	1587660759138	OK	 
REQUEST	2		PruebaAñadirAmigo_6	1587660759139	1587660759172	OK	 
REQUEST	2		PruebaAñadirAmigo_7	1587660759173	1587660759177	OK	 
USER	PruebaAñadirAmigo	4	START	1587660759863	1587660759863
REQUEST	4		PruebaAñadirAmigo_0	1587660759864	1587660759909	OK	 
REQUEST	4		PruebaAñadirAmigo_1	1587660759911	1587660759917	OK	 
REQUEST	4		PruebaAñadirAmigo_2	1587660759918	1587660759922	OK	 
REQUEST	4		PruebaAñadirAmigo_3	1587660760085	1587660760115	OK	 
REQUEST	3		PruebaAñadirAmigo_4	1587660760127	1587660760131	OK	 
REQUEST	3		PruebaAñadirAmigo_5	1587660760134	1587660760139	OK	 
REQUEST	3		PruebaAñadirAmigo_6	1587660760141	1587660760177	OK	 
REQUEST	3		PruebaAñadirAmigo_7	1587660760178	1587660760184	OK	 
USER	PruebaAñadirAmigo	5	START	1587660760863	1587660760863
REQUEST	5		PruebaAñadirAmigo_0	1587660760866	1587660760908	OK	 
REQUEST	5		PruebaAñadirAmigo_1	1587660760910	1587660760919	OK	 
REQUEST	5		PruebaAñadirAmigo_2	1587660760921	1587660760925	OK	 
REQUEST	5		PruebaAñadirAmigo_3	1587660761084	1587660761115	OK	 
REQUEST	4		PruebaAñadirAmigo_4	1587660761127	1587660761131	OK	 
REQUEST	4		PruebaAñadirAmigo_5	1587660761134	1587660761140	OK	 
REQUEST	4		PruebaAñadirAmigo_6	1587660761142	1587660761177	OK	 
REQUEST	4		PruebaAñadirAmigo_7	1587660761179	1587660761185	OK	 
REQUEST	5		PruebaAñadirAmigo_4	1587660762123	1587660762127	OK	 
REQUEST	5		PruebaAñadirAmigo_5	1587660762128	1587660762134	OK	 
REQUEST	5		PruebaAñadirAmigo_6	1587660762136	1587660762167	OK	 
REQUEST	5		PruebaAñadirAmigo_7	1587660762169	1587660762177	OK	 
USER	PruebaAñadirAmigo	6	START	1587660762854	1587660762854
REQUEST	6		PruebaAñadirAmigo_0	1587660762855	1587660762900	OK	 
REQUEST	6		PruebaAñadirAmigo_1	1587660762901	1587660762908	OK	 
REQUEST	6		PruebaAñadirAmigo_2	1587660762908	1587660762912	OK	 
REQUEST	6		PruebaAñadirAmigo_3	1587660763085	1587660763117	OK	 
USER	PruebaAñadirAmigo	7	START	1587660763862	1587660763862
REQUEST	7		PruebaAñadirAmigo_0	1587660763863	1587660763909	OK	 
REQUEST	7		PruebaAñadirAmigo_1	1587660763910	1587660763916	OK	 
REQUEST	7		PruebaAñadirAmigo_2	1587660763918	1587660763922	OK	 
REQUEST	7		PruebaAñadirAmigo_3	1587660764084	1587660764114	OK	 
REQUEST	6		PruebaAñadirAmigo_4	1587660764115	1587660764119	OK	 
REQUEST	6		PruebaAñadirAmigo_5	1587660764121	1587660764123	OK	 
REQUEST	6		PruebaAñadirAmigo_6	1587660764124	1587660764158	OK	 
REQUEST	6		PruebaAñadirAmigo_7	1587660764159	1587660764164	OK	 
USER	PruebaAñadirAmigo	8	START	1587660764862	1587660764862
REQUEST	8		PruebaAñadirAmigo_0	1587660764864	1587660764907	OK	 
REQUEST	8		PruebaAñadirAmigo_1	1587660764908	1587660764913	OK	 
REQUEST	8		PruebaAñadirAmigo_2	1587660764914	1587660764919	OK	 
REQUEST	8		PruebaAñadirAmigo_3	1587660765086	1587660765116	OK	 
REQUEST	7		PruebaAñadirAmigo_4	1587660765122	1587660765126	OK	 
REQUEST	7		PruebaAñadirAmigo_5	1587660765127	1587660765132	OK	 
REQUEST	7		PruebaAñadirAmigo_6	1587660765134	1587660765170	OK	 
REQUEST	7		PruebaAñadirAmigo_7	1587660765172	1587660765177	OK	 
USER	PruebaAñadirAmigo	9	START	1587660765861	1587660765861
REQUEST	9		PruebaAñadirAmigo_0	1587660765862	1587660765906	OK	 
REQUEST	9		PruebaAñadirAmigo_1	1587660765907	1587660765911	OK	 
REQUEST	9		PruebaAñadirAmigo_2	1587660765913	1587660765919	OK	 
REQUEST	9		PruebaAñadirAmigo_3	1587660766082	1587660766112	OK	 
REQUEST	8		PruebaAñadirAmigo_4	1587660766114	1587660766120	OK	 
REQUEST	8		PruebaAñadirAmigo_5	1587660766121	1587660766125	OK	 
REQUEST	8		PruebaAñadirAmigo_6	1587660766126	1587660766162	OK	 
REQUEST	8		PruebaAñadirAmigo_7	1587660766164	1587660766172	OK	 
USER	PruebaAñadirAmigo	10	START	1587660766863	1587660766863
REQUEST	10		PruebaAñadirAmigo_0	1587660766864	1587660766927	OK	 
REQUEST	10		PruebaAñadirAmigo_1	1587660766928	1587660766936	OK	 
REQUEST	10		PruebaAñadirAmigo_2	1587660766938	1587660766943	OK	 
REQUEST	10		PruebaAñadirAmigo_3	1587660767102	1587660767138	OK	 
REQUEST	9		PruebaAñadirAmigo_4	1587660767122	1587660767140	OK	 
REQUEST	9		PruebaAñadirAmigo_5	1587660767141	1587660767144	OK	 
REQUEST	9		PruebaAñadirAmigo_6	1587660767145	1587660767181	OK	 
REQUEST	9		PruebaAñadirAmigo_7	1587660767182	1587660767187	OK	 
REQUEST	10		PruebaAñadirAmigo_4	1587660768145	1587660768151	OK	 
REQUEST	10		PruebaAñadirAmigo_5	1587660768152	1587660768155	OK	 
REQUEST	10		PruebaAñadirAmigo_6	1587660768156	1587660768189	OK	 
REQUEST	10		PruebaAñadirAmigo_7	1587660768189	1587660768193	OK	 
USER	PruebaAñadirAmigo	11	START	1587660768865	1587660768865
